bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI24632,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI24632,2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI24635,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24635,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24635,2021,Qtr 2,Patients,Location data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI24639,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24639,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI24643,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,Less than 24 hours
BI24643,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,Less than 24 hours
BI24650,2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI24659,2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Health,Less than 24 hours
BI24660,2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI24660,2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
