year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,time_taken_to_report
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data, Location data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data, Sex life data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,More than 1 week
2021,Qtr 2,Employees,"Basic personal identifiers, Economic and financial data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1k to 10k,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,Employees,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Not Provided,100 to 1k,72 hours to 1 week
2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1k to 10k,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,"Customers or prospective customers, Employees, Subscribers, Users",Unknown,Investigation Pursued,Cyber,Ransomware,1k to 10k,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Less than 24 hours
2021,Qtr 2,Users,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,More than 1 week
2021,Qtr 2,Unknown,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,100 to 1k,More than 1 week
2021,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,72 hours to 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Cyber,Phishing,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,24 hours to 72 hours
2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,100 to 1k,More than 1 week
2021,Qtr 2,"Children, Patients","Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,More than 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Less than 24 hours
2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,10 to 99,24 hours to 72 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,More than 1 week
2021,Qtr 2,Customers or prospective customers,"Basic personal identifiers, Economic and financial data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,Unknown,Less than 24 hours
2021,Qtr 2,Employees,"Basic personal identifiers, Location data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Non Cyber,Other non-cyber incident,10k to 100k,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,100 to 1k,Less than 24 hours
2021,Qtr 2,"Customers or prospective customers, Employees","Economic and financial data, Identification data, Trade union membership",Investigation Pursued,Cyber,Unauthorised access,Unknown,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,More than 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,72 hours to 1 week
2021,Qtr 2,"Customers or prospective customers, Employees, Patients","Basic personal identifiers, Health data",Investigation Pursued,Cyber,Phishing,Unknown,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,72 hours to 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data, Location data",Investigation Pursued,Non Cyber,Other non-cyber incident,100 to 1k,More than 1 week
2021,Qtr 2,"Children, Customers or prospective customers, Employees, Users, Vulnerable adults","Basic personal identifiers, Identification data",No Further Action,Cyber,Brute Force,Unknown,More than 1 week
2021,Qtr 2,"Users, Vulnerable adults","Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Failure to redact,Unknown,More than 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,Unknown,More than 1 week
2021,Qtr 2,Customers or prospective customers,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,24 hours to 72 hours
2021,Qtr 2,"Children, Patients","Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Not Provided,1 to 9,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Data revealing racial or ethnic origin, Health data, Sex life data, Sexual orientation data",No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,More than 1 week
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1k to 10k,Less than 24 hours
2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,72 hours to 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10k to 100k,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,Unknown,24 hours to 72 hours
2021,Qtr 2,"Patients, Vulnerable adults","Basic personal identifiers, Location data",Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,24 hours to 72 hours
2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,10k to 100k,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,24 hours to 72 hours
2021,Qtr 2,Students,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,"Customers or prospective customers, Employees",Criminal convictions or offences,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Less than 24 hours
2021,Qtr 2,"Employees, Patients","Basic personal identifiers, Economic and financial data, Official documents",Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,Unknown,No Further Action,Non Cyber,Other non-cyber incident,1 to 9,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Investigation Pursued,Non Cyber,Unauthorised access,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,More than 1 week
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,More than 1 week
2021,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data, Location data, Sex life data",Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Less than 24 hours
2021,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,More than 1 week
2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,72 hours to 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,More than 1 week
2021,Qtr 2,"Children, Patients",Basic personal identifiers,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,10 to 99,24 hours to 72 hours
2021,Qtr 2,"Employees, Patients","Basic personal identifiers, Health data",No Further Action,Cyber,Other cyber incident,Unknown,More than 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Not Provided,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,Employees,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Less than 24 hours
2021,Qtr 2,"Children, Vulnerable adults","Basic personal identifiers, Economic and financial data, Health data",Informal Action Taken,Non Cyber,Unauthorised access,Unknown,24 hours to 72 hours
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,72 hours to 1 week
2021,Qtr 2,Patients,Unknown,No Further Action,Non Cyber,Unauthorised access,1 to 9,24 hours to 72 hours
2021,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,72 hours to 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,24 hours to 72 hours
2021,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Investigation Pursued,Non Cyber,Other non-cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Other cyber incident,Unknown,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,1k to 10k,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,Unknown,Less than 24 hours
2021,Qtr 2,Customers or prospective customers,"Basic personal identifiers, Health data",No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,"Customers or prospective customers, Subscribers, Users","Basic personal identifiers, Economic and financial data, Health data",No Further Action,Cyber,Unauthorised access,10 to 99,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Failure to redact,Unknown,Less than 24 hours
2021,Qtr 2,"Children, Customers or prospective customers, Patients, Students, Users","Basic personal identifiers, Data revealing racial or ethnic origin, Health data",No Further Action,Cyber,Unauthorised access,100 to 1k,Less than 24 hours
2021,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,More than 1 week
2021,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Failure to use bcc,Unknown,Less than 24 hours
2021,Qtr 2,"Children, Employees, Patients, Vulnerable adults","Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,1k to 10k,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,Investigation Pursued,Cyber,Ransomware,Unknown,More than 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Ransomware,1k to 10k,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Ransomware,100 to 1k,24 hours to 72 hours
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data, Location data",Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,More than 1 week
2021,Qtr 2,Unknown,"Basic personal identifiers, Health data, Location data",Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,More than 1 week
2021,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,72 hours to 1 week
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Ransomware,Unknown,Less than 24 hours
2021,Qtr 2,Patients,Unknown,No Further Action,Cyber,Unauthorised access,100 to 1k,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,100 to 1k,24 hours to 72 hours
